"numeor epoch,""batch_size"",""nb_epochs"",""learning_rate"",""input_size"",""hidden_size"",""output_size"",""weight_init_range"",""Training Loss"",""Validation Loss"",""Test Loss"",""Accuracy"","""","""""
"1,""2"",""10"",""0.001"",""784"",""128"",""10"",""(-0,001, 0,001)"",""1.6151050554027"",""0.6360540132436"",""0.62758198444652"",""83.157142857143"","""","""""
"2,""2"",""10"",""0.001"",""784"",""128"",""10"",""(-0,001, 0,001)"",""0.4804606730766"",""0.38139013255041"",""0.37470012688494"",""89.528571428571"","""","""""
"3,""2"",""10"",""0.001"",""784"",""128"",""10"",""(-0,001, 0,001)"",""0.36169169658114"",""0.32138172253165"",""0.31685839466181"",""90.671428571429"","""","""""
"4,""2"",""10"",""0.001"",""784"",""128"",""10"",""(-0,001, 0,001)"",""0.31656583755878"",""0.28811360409156"",""0.2841506491287"",""91.642857142857"","""","""""
"5,""2"",""10"",""0.001"",""784"",""128"",""10"",""(-0,001, 0,001)"",""0.28646184205212"",""0.26308593128765"",""0.25945126612246"",""92.485714285714"","""","""""
"6,""2"",""10"",""0.001"",""784"",""128"",""10"",""(-0,001, 0,001)"",""0.26216079299004"",""0.24458931131551"",""0.2397502654785"",""93.142857142857"","""","""""
"7,""2"",""10"",""0.001"",""784"",""128"",""10"",""(-0,001, 0,001)"",""0.24217416774853"",""0.22729011837884"",""0.22409649194711"",""93.714285714286"","""","""""
"8,""2"",""10"",""0.001"",""784"",""128"",""10"",""(-0,001, 0,001)"",""0.22412536874099"",""0.21311062188411"",""0.21049625472458"",""93.814285714286"","""","""""
"9,""2"",""10"",""0.001"",""784"",""128"",""10"",""(-0,001, 0,001)"",""0.20907446663911"",""0.20532769332215"",""0.20108754704836"",""94.314285714286"","""","""""
"10,""2"",""10"",""0.001"",""784"",""128"",""10"",""(-0,001, 0,001)"",""0.19641511341085"",""0.19178158261277"",""0.18808992871805"",""94.6"","""","""""
"1,""3"",""10"",""0.001"",""784"",""128"",""10"",""(-0,001, 0,001)"",""2.0090972461019"",""1.0603652376965"",""1.0595143517254"",""69.4"","""","""""
"2,""3"",""10"",""0.001"",""784"",""128"",""10"",""(-0,001, 0,001)"",""0.67788528277361"",""0.4757103787612"",""0.46471142622338"",""87.8"","""","""""
"3,""3"",""10"",""0.001"",""784"",""128"",""10"",""(-0,001, 0,001)"",""0.42850504876494"",""0.3787577606239"",""0.36914607576468"",""89.471428571429"","""","""""
"4,""3"",""10"",""0.001"",""784"",""128"",""10"",""(-0,001, 0,001)"",""0.36430153969387"",""0.33499866785997"",""0.32756012516527"",""90.5"","""","""""
"5,""3"",""10"",""0.001"",""784"",""128"",""10"",""(-0,001, 0,001)"",""0.33069501160826"",""0.31129289686818"",""0.30340271255328"",""91.328571428571"","""","""""
