"numero epoch","batch_size","nb_epochs","learning_rate","input_size","hidden_size","output_size","weight_init_range","Training Loss","Validation Loss","Test Loss","Accuracy",""
"8","2","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.05196160118714","0.10352938423106","0.092351153886327","97.314285714286",""
"9","2","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.045113957404257","0.1060721645352","0.098091752655365","97.128571428571",""
"10","2","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.038871692818159","0.10350505481499","0.097390689449355","97.114285714286",""
"1","3","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","2.1402068670356","1.3039092936952","1.2943938834036","53",""
"2","3","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.56307777268087","0.26251310548479","0.24794711288841","92.728571428571",""
"3","3","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.21117576894356","0.20543145895848","0.18741954069428","94.342857142857",""
"4","3","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.14344654906561","0.15522154912399","0.13312059877435","96.2",""
"5","3","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.11228912363622","0.12320356960443","0.10376512225974","97.085714285714",""
"6","3","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.091623405324296","0.11388209444027","0.10104437273529","97.085714285714",""
"7","3","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.076086828845064","0.11276936196324","0.097211255572919","97.157142857143",""
"8","3","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.065374694090984","0.11622711728428","0.1058955052701","96.971428571429",""
"9","3","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.056924743285891","0.10776574528395","0.08572270229304","97.414285714286",""
"10","3","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.049783969546455","0.10814651346182","0.097040935894837","97.1",""
"1","4","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","2.2652778975784","1.9393668978744","1.9485225809472","23.257142857143",""
"2","4","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.94046245943271","0.35330192574462","0.36159498837949","89.328571428571",""
"3","4","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.28961701181435","0.24028846829874","0.24299136417246","92.357142857143",""
"4","4","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.18704929157575","0.1616790842695","0.15069976754759","95.371428571428",""
"5","4","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.13958568491632","0.14875769300618","0.14182583784992","95.971428571429",""
"6","4","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.1119969935335","0.12169387600171","0.11244522184995","96.7",""
"7","4","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.092332199161126","0.10726303189887","0.095851131195667","97.042857142857",""
"8","4","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.078371126940889","0.10436840333723","0.098880045094872","96.942857142857",""
"9","4","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.065299704281768","0.10330105646409","0.09238698018038","96.857142857143",""
"10","4","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.056204335931088","0.10679444459494","0.099997885490181","97.228571428571",""
"1","5","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","2.3015917396735","2.302330201202","2.3033251793044","10.842857142857",""
"2","5","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","1.7718133886123","1.1113496950754","1.1041593550146","64.142857142857",""
"3","5","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.56075402404383","0.35302084118021","0.34119926276816","90.2","10.842857142857"
"4","5","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.26715827501495","0.22491159157168","0.21126321001294","93.942857142857",""
"5","5","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.18673480543305","0.18067108031588","0.16721289426208","95.228571428571",""
"6","5","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.14529435737794","0.15194225770884","0.13575486158254","96.185714285714",""
"7","5","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.11774084230564","0.12798001184708","0.11096206192708","96.514285714286",""
"8","5","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.099555504990117","0.11911847768516","0.10828958164863","96.642857142857",""
"9","5","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.086370565672235","0.11147566722667","0.099370919451667","97.1",""
"10","5","10","0.01","784","(128, 256)","10","(-0,001, 0,001)","0.074099050459501","0.098419676715501","0.086451791359872","97.214285714286",""
"1","2","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3016892804891","2.3008227850142","2.3016597204208","10.842857142857",""
"2","2","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3013562781754","2.3008830193868","2.3019003943716","10.842857142857",""
"3","2","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3013363499963","2.3009122764118","2.3016698418345","10.842857142857",""
"4","2","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.301346819713","2.300724924746","2.3016598094531","10.842857142857",""
"5","2","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3013407502382","2.3007783756559","2.3015123720169","10.842857142857",""
"6","2","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3011905852291","2.3003965923521","2.30116155856","10.842857142857",""
"7","2","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.2836724276178","2.1662537989068","2.174315153139","20.671428571428",""
"8","2","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","1.9396116578486","1.5855011151565","1.59118439774","39.8",""
"9","2","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","1.3394921309096","1.1862306538106","1.1838013006513","59.757142857143",""
"10","2","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","0.96897735845918","0.70037265260682","0.68180593971256","81.114285714286",""
"1","3","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3018217630897","2.300930795556","2.3017285332888","10.842857142857",""
"2","3","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3012793672227","2.3009428400085","2.3016517117377","10.842857142857",""
"3","3","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3012717641109","2.3010293420156","2.3017012783882","10.842857142857",""
"4","3","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.301250663868","2.3011966077487","2.3014962251307","10.842857142857",""
"5","3","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3012553358078","2.3009916406018","2.3014968096342","10.842857142857",""
"6","3","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3012585850131","2.3009538309915","2.3015870741523","10.842857142857",""
"7","3","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3011765026762","2.3008588593347","2.3015059532012","10.842857142857",""
"8","3","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3004542848894","2.2979436963513","2.298485226578","10.842857142857",""
